C,NEMP.WORLD,PREDISPATCH,AEMO,PUBLIC,2026/09/04,03:32:05,0000000535965578,,0000000535965573
I,PREDISPATCH,CASESOLUTION,2,PREDISPATCHSEQNO,RUNNO,SOLUTIONSTATUS,SPDVERSION,NONPHYSICALLOSSES,TOTALOBJECTIVE,TOTALAREAGENVIOLATION,TOTALINTERCONNECTORVIOLATION,TOTALGENERICVIOLATION,TOTALRAMPRATEVIOLATION,TOTALUNITMWCAPACITYVIOLATION,TOTAL5MINVIOLATION,TOTALREGVIOLATION,TOTAL6SECVIOLATION,TOTAL60SECVIOLATION,TOTALASPROFILEVIOLATION,TOTALENERGYCONSTRVIOLATION,TOTALENERGYOFFERVIOLATION,LASTCHANGED,INTERVENTION
D,PREDISPATCH,CASESOLUTION,2,"2026/09/04 04:00:00",1,2,,0,-540471836.4080,0,0,0,0,0,,,,,0,0,0,"2026/09/04 03:31:55",0
I,PDREGION,,5,PREDISPATCHSEQNO,RUNNO,REGIONID,PERIODID,RRP,EEP,TOTALDEMAND,DISPATCHABLEGENERATION,DISPATCHABLELOAD,NETINTERCHANGE,EXCESSGENERATION,LOWER5MINDISPATCH,LOWER5MINIMPORT,LOWER5MINLOCALDISPATCH,LOWER5MINLOCALPRICE,LOWER5MINLOCALREQ,LOWER5MINPRICE,LOWER5MINREQ,LOWER5MINSUPPLYPRICE,LOWER60SECDISPATCH,LOWER60SECIMPORT,LOWER60SECLOCALDISPATCH,LOWER60SECLOCALPRICE,LOWER60SECLOCALREQ,LOWER60SECPRICE,LOWER60SECREQ,LOWER60SECSUPPLYPRICE,LOWER6SECDISPATCH,LOWER6SECIMPORT,LOWER6SECLOCALDISPATCH,LOWER6SECLOCALPRICE,LOWER6SECLOCALREQ,LOWER6SECPRICE,LOWER6SECREQ,LOWER6SECSUPPLYPRICE,RAISE5MINDISPATCH,RAISE5MINIMPORT,RAISE5MINLOCALDISPATCH,RAISE5MINLOCALPRICE,RAISE5MINLOCALREQ,RAISE5MINPRICE,RAISE5MINREQ,RAISE5MINSUPPLYPRICE,RAISE60SECDISPATCH,RAISE60SECIMPORT,RAISE60SECLOCALDISPATCH,RAISE60SECLOCALPRICE,RAISE60SECLOCALREQ,RAISE60SECPRICE,RAISE60SECREQ,RAISE60SECSUPPLYPRICE,RAISE6SECDISPATCH,RAISE6SECIMPORT,RAISE6SECLOCALDISPATCH,RAISE6SECLOCALPRICE,RAISE6SECLOCALREQ,RAISE6SECPRICE,RAISE6SECREQ,RAISE6SECSUPPLYPRICE,AVAILABLEGENERATION,AVAILABLELOAD,INITIALSUPPLY,CLEAREDSUPPLY,LOWERREGIMPORT,LOWERREGLOCALDISPATCH,LOWERREGLOCALREQ,LOWERREGREQ,RAISEREGIMPORT,RAISEREGLOCALDISPATCH,RAISEREGLOCALREQ,RAISEREGREQ,RAISE5MINLOCALVIOLATION,RAISEREGLOCALVIOLATION,RAISE60SECLOCALVIOLATION,RAISE6SECLOCALVIOLATION,LOWER5MINLOCALVIOLATION,LOWERREGLOCALVIOLATION,LOWER60SECLOCALVIOLATION,LOWER6SECLOCALVIOLATION,RAISE5MINVIOLATION,RAISEREGVIOLATION,RAISE60SECVIOLATION,RAISE6SECVIOLATION,LOWER5MINVIOLATION,LOWERREGVIOLATION,LOWER60SECVIOLATION,LOWER6SECVIOLATION,RAISE6SECRRP,RAISE60SECRRP,RAISE5MINRRP,RAISEREGRRP,LOWER6SECRRP,LOWER60SECRRP,LOWER5MINRRP,LOWERREGRRP,RAISE6SECACTUALAVAILABILITY,RAISE60SECACTUALAVAILABILITY,RAISE5MINACTUALAVAILABILITY,RAISEREGACTUALAVAILABILITY,LOWER6SECACTUALAVAILABILITY,LOWER60SECACTUALAVAILABILITY,LOWER5MINACTUALAVAILABILITY,LOWERREGACTUALAVAILABILITY,DECAVAILABILITY,LORSURPLUS,LRCSURPLUS,INTERVENTION,LOWER1SECLOCALDISPATCH,RAISE1SECLOCALDISPATCH,RAISE1SECACTUALAVAILABILITY,LOWER1SECACTUALAVAILABILITY,SS_SOLAR_AVAILABILITY,SS_WIND_AVAILABILITY,RAISE1SECRRP,LOWER1SECRRP
D,PDREGION,,5,"2026/09/04 04:00:00",1,NSW1,"2026/09/04 09:00:00",-6.39,0,6065.58,6618.73,639.78,-86.62,0,,,68,,,,,,,,68,,,,,,,,68,,,,,,,,66,,,,,,,,45,,,,,,,,46,,,,,,14539.032,2540,7335.49961,6771.79,,34,,,,105,,,,,,,,,,,,,,,,,,,0.04,0.03,0.02,4.69,0.01,0.01,0.01,0.99,717,857,1236,955,699,710,660,460,13792.672560,,,0,0,25,539,581,3693.603,366.429,0.03,0.01
D,PDREGION,,5,"2026/09/04 04:00:00",1,NSW1,"2026/09/04 09:30:00",9.70859,0,5599,6497.14,1248,-349.86,0,,,68,,,,,,,,68,,,,,,,,68,,,,,,,,51,,,,,,,,45,,,,,,,,41,,,,,,15220.813,2733,6771.79244,6894.48,,0,,,,38,,,,,,,,,,,,,,,,,,,0.04,0.03,0.01,4.69,0.03,0.03,0.01,0.37,735,874,1187,885,657,668,608,407,14591.391140,,,0,0,25,556,577,4027.418,388.395,0.01,0.01
D,PDREGION,,5,"2026/09/04 04:00:00",1,NSW1,"2026/09/04 10:00:00",4.06598,0,5278,6174.77,1127,-230.22,0,,,68,,,,,,,,68,,,,,,,,68,,,,,,,,43,,,,,,,,37,,,,,,,,40,,,,,,15412.519,2926,6894.47936,6468.99,,0,,,,20,,,,,,,,,,,,,,,,,,,0.01,0.01,0,4.67,0.05,0.05,0.01,0.37,734,874,1187,885,657,668,608,407,14894.942180,,,0,0,17,556,577,4132.039,415.48,0.01,0.01
D,PDREGION,,5,"2026/09/04 04:00:00",1,NSW1,"2026/09/04 10:30:00",-6.39,0,5018.1,6122.22,1273.45,-169.34,0,,,64,,,,,,,,64,,,,,,,,64,,,,,,,,44,,,,,,,,29.45,,,,,,,,41,,,,,,15603.58,2451,6468.99231,6355.79,,38,,,,20,,,,,,,,,,,,,,,,,,,0.01,0.01,0,4.2,0.03,0.03,0.01,0.99,735,875,1188,1085,467,467,397,194,15175.503180,,,0,33.79,0,556,429,4172.293,451.287,0,0
D,PDREGION,,5,"2026/09/04 04:00:00",1,NSW1,"2026/09/04 11:00:00",-8.27855,0,4751.6,6039.53,1396,-108.07,0,,,64,,,,,,,,64,,,,,,,,64,,,,,,,,44,,,,,,,,36,,,,,,,,31,,,,,,15719.611,2451,6355.78816,6211.77,,24,,,,10,,,,,,,,,,,,,,,,,,,0,0,0,2.34,0.01,0.01,0.01,0.99,735,875,1188,1085,481,481,411,194,15327.877280,,,0,0,0,556,443,4179.79,493.821,0,0
D,PDREGION,,5,"2026/09/04 04:00:00",1,NSW1,"2026/09/04 11:30:00",-6.5,0,4680.66,6162.64,1601,-119.02,0,,,68,,,,,,,,68,,,,,,,,68,,,,,,,,44,,,,,,,,32.5,,,,,,,,33,,,,,,15727.902,2451,6211.76673,6347.31,,0,,,,20,,,,,,,,,,,,,,,,,,,0.01,0.01,0,2.9,0.01,0.01,0.01,3.39,752,892,1205,1230,364,364,294,49,15489.7093,,,0,0,0,573,322,4148.405,537.497,0,0
D,PDREGION,,5,"2026/09/04 04:00:00",1,NSW1,"2026/09/04 12:00:00",-7.56658,0,4489.15,6112.73,1601,22.58,0,,,64,,,,,,,,64,,,,,,,,64,,,,,,,,44,,,,,,,,28,,,,,,,,41,,,,,,15737.903,2451,6347.30656,6145.75,,0,,,,0,,,,,,,,,,,,,,,,,,,0.01,0,0,0.99,0.01,0.09,0.01,0.69,752,892,1205,1230,360,360,290,49,15737.4330,,,0,30.98,0,573,322,4112.873,587.03,0,0
D,PDREGION,,5,"2026/09/04 04:00:00",1,NSW1,"2026/09/04 12:30:00",-6.5,0,4487.67,6246.36,1856,-97.31,0,,,64,,,,,,,,64,,,,,,,,64,,,,,,,,44,,,,,,,,28,,,,,,,,23,,,,,,15775.046,2451,6145.75045,6407.84,,0,,,,0,,,,,,,,,,,,,,,,,,,0,0,0,0.99,0.01,0.03,0.01,0.99,752,892,1205,1230,140,140,70,49,15758.034580,,,0,0,0,573,102,4057.608,640.438,0,0.01
D,PDREGION,,5,"2026/09/04 04:00:00",1,NSW1,"2026/09/04 13:00:00",-7.66241,0,4396.17,6197.39,1856,-54.77,0,,,64,,,,,,,,64,,,,,,,,64,,,,,,,,44,,,,,,,,36.15,,,,,,,,33,,,,,,15750.525,2152,6407.84104,6311.84,,0,,,,20,,,,,,,,,,,,,,,,,,,0.01,0.01,0,2.64,0.01,0.05,0.01,0.88,752,892,1205,1230,140,140,70,49,15738.013580,,,0,0,0,573,102,3971.282,700.243,0,0.01
D,PDREGION,,5,"2026/09/04 04:00:00",1,NSW1,"2026/09/04 13:30:00",-8.73086,0,4410.35,6199.03,1692,96.68,0,,,64,,,,,,,,64,,,,,,,,74,,,,,,,,44,,,,,,,,28,,,,,,,,23,,,,,,15581.479,1847,6311.84109,6151.96,,0,,,,20,,,,,,,,,,,,,,,,,,,0,0,0,2.64,0.17,0.1,0.03,1.65,752,892,1205,1230,140,140,70,49,15495.765240,,,0,34.42,0,573,102,3710.516,701.963,0,0
D,PDREGION,,5,"2026/09/04 04:00:00",1,NSW1,"2026/09/04 14:00:00",-6.5,0,4515.46,6220.83,1798,-92.64,0,,,65,,,,,,,,67,,,,,,,,68,,,,,,,,44,,,,,,,,28,,,,,,,,23,,,,,,15918.576,1953,6151.95652,6374.03,,0,,,,0,,,,,,,,,,,,,,,,,,,0.01,0,0,0.99,0.03,0.03,0.01,0.99,752,892,1205,1230,144,143,71,49,15876.212240,,,0,0,0,573,102,3572.588,701.988,0,0
D,PDREGION,,5,"2026/09/04 04:00:00",1,NSW1,"2026/09/04 14:30:00",-6.51,0,4806.75,6134.18,1524,-196.57,0,,,71,,,,,,,,73,,,,,,,,74,,,,,,,,44,,,,,,,,38,,,,,,,,23,,,,,,15869.153,1958,6374.03155,6388.57,,45,,,,10,,,,,,,,,,,,,,,,,,,0.01,0.01,0,2.4,0.07,0.07,0.02,0.99,752,892,1205,1030,299,298,226,243,15869.1530,,,0,27,0,573,257,3513.547,707.606,0,0
D,PDREGION,,5,"2026/09/04 04:00:00",1,NSW1,"2026/09/04 15:00:00",-7.15438,0,5165.56,5932.58,1200,-432.98,0,,,70,,,,,,,,70,,,,,,,,70,,,,,,,,44,,,,,,,,38,,,,,,,,33,,,,,,15707.419,1613,6388.57461,6420.13,,0,,,,29,,,,,,,,,,,,,,,,,,,0.01,0.01,0,5,0.07,0.07,0.02,0.37,752,892,1205,970,217,217,146,119,15707.4190,,,0,0,0,573,178,3336.096,723.323,0,0.01
D,PDREGION,,5,"2026/09/04 04:00:00",1,NSW1,"2026/09/04 15:30:00",-6.39,0,5627.08,5915.17,818.15,-530.05,0,,,70,,,,,,,,70,,,,,,,,70,,,,,,,,44,,,,,,,,46,,,,,,,,31,,,,,,15541.631,1316,6420.12936,6485.74,,0,,,,47,,,,,,,,,,,,,,,,,,,0.01,0.01,0,6.81,0.05,0.07,0.02,1.51,752,892,1205,400,260.852680,260.852680,190.852680,43,15541.6310,,,0,0,0,573,447.852680,3151.69,741.941,0,0.01
D,PDREGION,,5,"2026/09/04 04:00:00",1,NSW1,"2026/09/04 16:00:00",-5.52391,0,6205.23,6129.54,607,-682.69,0,,,102,,,,,,,,114,,,,,,,,102,,,,,,,,29,,,,,,,,30.11,,,,,,,,16,,,,,,15238.912,1327,6485.74043,6852.91,,0,,,,20,,,,,,,,,,,,,,,,,,,0,0.01,0,4.98,0.07,0.07,0.01,0.88,735,875,1188,785,499,472,418,119,15238.9120,,,0,0,0,556,577,2825.212,765.7,0,0.01
D,PDREGION,,5,"2026/09/04 04:00:00",1,NSW1,"2026/09/04 16:30:00",0.01181,0,6825.9,5969.3,273,-1129.59,0,,,64,,,,,,,,69.51,,,,,,,,75,,,,,,,,34,,,,,,,,21,,,,,,,,18,,,,,,14824.855,1166,6852.90971,7124.52,,0,,,,57,,,,,,,,,,,,,,,,,,,0.01,0.01,0,7.46,0.17,0.1,0.3,3.99,718,858,1237,855,554,486,425,161,14824.8550,,,0,44.85,0,539,581,2261.937,774.918,0,0
D,PDREGION,,5,"2026/09/04 04:00:00",1,NSW1,"2026/09/04 17:00:00",56.50033,0,7445.23,6301,0,-1144.23,0,,,74,,,,,,,,74,,,,,,,,77,,,,,,,,37,,,,,,,,26,,,,,,,,26,,,,,,13994.998,1120,7124.52448,7474.57,,0,,,,0,,,,,,,,,,,,,,,,,,,0.04,0.03,0.01,4.1,0.03,0.07,0.02,2.18,909,990,1237,855,923,885,771,574,13994.9980,,,0,10,0,539,591,1423.645,783.353,0,0.01
D,PDREGION,,5,"2026/09/04 04:00:00",1,NSW1,"2026/09/04 17:30:00",70.92092,0,7908.81,6834.87,0,-1073.94,0,,,74,,,,,,,,74,,,,,,,,74,,,,,,,,43,,,,,,,,26,,,,,,,,26,,,,,,13080.87,1528,7474.57291,7944.06,,0,,,,0,,,,,,,,,,,,,,,,,,,0.04,0.04,0.02,3,0.01,0.03,0.01,2.18,679.037736,760.037736,1017,740,962,1085,995,1978,13080.87,,,0,36.47,25,319,591,474.066,810.804,0.01,0
D,PDREGION,,5,"2026/09/04 04:00:00",1,NSW1,"2026/09/04 18:00:00",71.4,0,8295.87,7255.99,0,-1039.88,0,,,30,,,,,,,,74,,,,,,,,74,,,,,,,,42,,,,,,,,31,,,,,,,,31,,,,,,12679.005,1726,7944.05645,8328.63,,20,,,,5,,,,,,,,,,,,,,,,,,,0.04,0.09,0.03,0.03,0.01,0.01,0.01,2,536,606,859,455,962,1085,1015,2123,12679.0050,,,0,10,31,299,591,18.812,854.193,0.04,0.01
D,PDREGION,,5,"2026/09/04 04:00:00",1,NSW1,"2026/09/04 18:30:00",71.4,0,8521.84,7563.67,0,-958.17,0,,,84,,,,,,,,74,,,,,,,,74,,,,,,,,42,,,,,,,,31,,,,,,,,31,,,,,,12806.547,2194,8328.63304,8544.65,,0,,,,19,,,,,,,,,,,,,,,,,,,0.04,0.04,0.02,5,0.01,0.01,0,0,475.245210,545.245210,798.245210,406.245210,962,1085,1015,2183.754790,12806.5470,,,0,33.78,25,238.245210,591,0.727,894.82,0.04,0
D,PDREGION,,5,"2026/09/04 04:00:00",1,NSW1,"2026/09/04 19:00:00",71.4,0,8559.92,7636.89,0,-923.03,0,,,30,,,,,,,,74,,,,,,,,10,,,,,,,,42,,,,,,,,31,,,,,,,,31,,,,,,12836.008,2248,8544.65399,8582.98,,20,,,,11,,,,,,,,,,,,,,,,,,,0.04,0.08,0.03,3,0.01,0.01,0.01,2,484.163440,554.163440,807.163440,415.163440,962,1085,1015,2174.836560,12836.0080,,,0,10,25,247.163440,591,0,921.008,0.04,0.01
D,PDREGION,,5,"2026/09/04 04:00:00",1,NSW1,"2026/09/04 19:30:00",79.98488,0,8470.98,7418.46,0,-1052.52,0,,,84,,,,,,,,74,,,,,,,,65.21,,,,,,,,35,,,,,,,,31.11,,,,,,,,24,,,,,,12733.455,2363,8582.983,8495.64,,20,,,,11,,,,,,,,,,,,,,,,,,,0.09,0.09,0.03,4.98,0.01,0.01,0,2.18,529,599,852,467,962,1085,1015,2123,12733.4550,,,0,33.34,17,291,591,0,916.455,0.04,0
D,PDREGION,,5,"2026/09/04 04:00:00",1,NSW1,"2026/09/04 20:00:00",77.43536,0,8357.79,7326.79,0,-1031,0,,,30,,,,,,,,10,,,,,,,,10,,,,,,,,35,,,,,,,,68.12,,,,,,,,24,,,,,,12734.789,2385,8495.63524,8388.33,,20,,,,11,,,,,,,,,,,,,,,,,,,0.09,0.09,0.03,4.98,0.01,0.03,0.01,2,529,599,852,467,962,1085,1015,2187,12734.7890,,,0,10,17,291,591,0,913.789,0.04,0.01
D,PDREGION,,5,"2026/09/04 04:00:00",1,NSW1,"2026/09/04 20:30:00",78.02341,0,8292.46,7227.46,0,-1065,0,,,34,,,,,,,,14,,,,,,,,14,,,,,,,,40,,,,,,,,57.99,,,,,,,,29,,,,,,12742.463,2496,8388.33487,8325.73,,20,,,,21,,,,,,,,,,,,,,,,,,,0.09,0.09,0.03,4.98,0.01,0.03,0.01,2,549,630,883,520,966,1089,1019,2130.949153,12742.4630,,,0,10,23,311,591,0,917.463,0.04,0.01
D,PDREGION,,5,"2026/09/04 04:00:00",1,NSW1,"2026/09/04 21:00:00",80.09095,0,8195.21,6961.02,0,-1234.19,0,,,34,,,,,,,,14,,,,,,,,14,,,,,,,,40,,,,,,,,29,,,,,,,,29,,,,,,12748.017,2518,8325.72698,8231.39,,20,,,,45,,,,,,,,,,,,,,,,,,,0.08,0.09,0.03,7.8,0.01,0.03,0.01,2.18,549,630,875,572,966,1089,1019,2078.949153,12748.0170,,,0,10,17,311,591,0,923.017,0.04,0.01
D,PDREGION,,5,"2026/09/04 04:00:00",1,NSW1,"2026/09/04 21:30:00",83.99,0,8047.19,6606.04,0,-1441.16,0,,,34,,,,,,,,14,,,,,,,,14,,,,,,,,55,,,,,,,,44,,,,,,,,44,,,,,,12527.488,2539,8231.38708,8089.16,,10,,,,21,,,,,,,,,,,,,,,,,,,0.04,0.08,0.03,4.98,0.01,0.01,0.01,3.75,769,850,1103,1032,966,1089,1019,1598.949153,12090.430580,,,0,10,17,531,591,0,927.488,0.04,0.01
D,PDREGION,,5,"2026/09/04 04:00:00",1,NSW1,"2026/09/04 22:00:00",79.99506,0,7900.97,6483.76,0,-1417.2,0,,,34,,,,,,,,14,,,,,,,,14,,,,,,,,55,,,,,,,,62.81,,,,,,,,55.8,,,,,,12530.764,2540,8089.15612,7946.4,,10,,,,21,,,,,,,,,,,,,,,,,,,0.09,0.09,0.04,4.98,0.01,0.01,0.01,3.75,769,850,1103,1137,966,1089,1019,1493.949153,12070.7640,,,0,10,17,531,591,0,930.764,0.04,0.01
D,PDREGION,,5,"2026/09/04 04:00:00",1,NSW1,"2026/09/04 22:30:00",83.99,0,7868.96,6336.82,0,-1532.14,0,,,24,,,,,,,,14,,,,,,,,14,,,,,,,,55,,,,,,,,44,,,,,,,,44,,,,,,12576.249,2540,7946.39547,7921.35,,10,,,,21,,,,,,,,,,,,,,,,,,,0.04,0.09,0.03,4.98,0.01,0.03,0.01,2,769,850,1103,1137,966,1089,1019,1493.949153,12116.2490,,,0,10,17,531,591,0,976.249,0.04,0.01
